0,1,2,3,4,5
RPS26,AP2M1,PDE10A,APRT,VIM,AC005775.1
CHCHD2,MT2A,GABPB1-AS1,COX8A,AKR1C3,SELENOM
GCLM,RPL39,PDIA6,AP1S1,HINT1,PPP1CA
HINT1,IL11,RRBP1,CTSD,MYL6,RNASEH1-AS1
TMEM97,SH3BGRL3,NFIA,SLPI,RPS2,EEF1A2
NME2,NME2,FUS,CSTB,RPL19,SAR1A
TALDO1,ZFP36L1,LAMB1,AKR1C2,FTH1,ARL6IP5
TXNDC17,RPS4X,DST,TNNT1,RPS27,PAXX
TRIM16L,RPS3,PLEC,RPL8,TPM2,COX11
RPL27,IGFBP4,KTN1,PRDX5,ENO1,NSD3
PSMB3,RPL26,ABCC2,CYB5A,LDHA,RPL6
GDF15,H3F3B,SNHG14,SQSTM1,RPS3,JUNB
SOD1,RPL24,DDX5,CPLX2,NACA,WAC
C1QBP,COL5A1,FTX,PLP2,EEF1A1,YY1
MTUS1,SOX4,COL5A2,RPS12,RPS15A,RSRC1
TPI1,RPSA,ATP2B1,ECI1,RPS13,TGIF1
RPS15,RPL13,FAT1,HINT2,KRT81,AKR1A1
SLC9A3R2,ATOX1,NR4A1,ID1,TPT1,KRT10
MRPL12,RPS3A,P4HB,HMGB3,DSTN,WASL
RPS16,DSTN,SLC7A5,MRPS34,LDHB,PSPH
TUBA1B,COL4A2,PNN,HNRNPAB,RPL11,WDR54
RPL7A,GNAS,APP,PITX1,RPL10A,BRK1
RPL18,AMIGO2,SRRM2,NOP16,S100A10,DEF8
C12orf75,TIMP2,FN1,RPS26,RPS24,ZKSCAN1
RPL26,HCFC1R1,SON,LSM4,BTF3,MRPL19
SNRPF,H3F3A,ELF3,TMED9,RPL35A,PEBP1
NDUFA4,CCDC80,SLC38A2,HIGD2A,RPL29,NAP1L4
UBB,RPS27A,AKAP9,SEC61G,GSTP1,GADD45GIP1
SYNGR2,KCNMA1,NRP2,RPLP2,RPS9,RAB11A
NAA38,RPL23,KCNQ1OT1,LIMCH1,PKM,TCEAL9
RAB5IF,RPS5,TPR,COX7B,PTMA,PDZD8
SERF2,PHLDA1,CD46,ETFB,MGST1,GPN1
RPL38,TUBA1A,FOSB,ATP5MC3,TUBA1B,PLAU
RPL41,SNX6,HES1,SLIRP,RPL28,SPATS2L
RPS24,RPS27,EGFR,DDT,RPS5,UHMK1
SQSTM1,ATP6V0E1,PNISR,CALM1,MIF,DCXR
MRPS12,RAI14,SCD,RPL21,EIF4A1,LAMTOR4
PDCD5,RPL15,ATRX,ELOC,RPL27,FBXW5
PTGES3,PALLD,PVT1,HINT1,RPL23A,SLC38A1
NDUFV2,RPS6,GOLGB1,PLA2G4A,RPS11,AXL
SNRPG,TUBB3,PDIA4,ATP5F1B,RPS17,CADM4
CACYBP,RPS18,NRG1,RPL36,RPL12,PDCD2L
UGDH,ID3,AC020916.1,NDUFAF3,NME2,MAP1LC3B
ELF3,RPLP0,COL4A2,TMEM230,TXN,ISG15
COX17,RPL11,JAG1,PTMA,RPL8,MRPL54
UQCRFS1,RPS14,IGF1R,AKR1C3,RPL32,PLEKHB2
RPS19,TGFB1,GANAB,NTHL1,CRIP1,PAGR1
HSP90AA1,AKR1B1,SLC7A11,ALDH2,CFL1,PPM1G
UCHL1,RBP1,COL5A1,AKR1B1,RPS16,CALM1
PIR,SH3KBP1,MACF1,BOLA3,RPS18,DDX19B
EMC6,PHLDB2,LINC00472,ELOB,RPL38,TXNDC9
SNRPD2,FOXP1,LAMA5,SLC9A3R2,RPL22,RHOT1
CALM1,NAP1L1,CNTN1,ANAPC16,KRT8,FHL2
HIST1H4C,PGM2L1,RPN2,H2AFZ,RPS28,PHACTR4
DYNLL1,MAP1B,NRP1,LMAN2,FTL,UROD
TMEM14B,TRAPPC1,ACTN4,ATP6V0B,RPL30,PCBP2
FGB,CITED4,FADS2,CA12,PTMS,DUS1L
COX5A,S100A10,ITGAV,TOMM7,RPL39,PRKD3
RPA3,COL4A1,CPD,PGK1,RPL37A,EIF2AK1
ATP5MF,RPS2,COL18A1,RPL17,RPS27L,ITSN1
RPS27L,RPL29,N4BP2L2,SELENOW,EIF1,YBX3
SNRPB,ZYX,AMIGO2,RPS13,RPL36,GNB2
NDUFAF8,OCIAD2,VCL,C1orf43,HSPE1,RNF20
LSM3,MT1X,CEMIP2,IGFBP2,RAN,RIDA
CBR1,SFRP1,CDH2,COX17,RPSA,SNHG19
ATP5F1C,RPL18,GLG1,COX7A2,S100A11,PCGF2
MRPL51,SNHG29,PTPRF,RPL18A,HSPA8,LACTB
NOP10,RPS27L,AL157937.1,GLRX,HMGB1,TMEM99
RPL32,TPT1,PCDH9,HEBP2,RPS25,ATP5F1B
EIF3K,RPL35A,ITGA3,UBE2M,RPL21,GNPDA1
RPL6,SERPINE1,CLTC,POR,RPL18A,AP4M1
GABARAP,ETS2,THBS1,PKIB,RPS20,SMC6
ALDH3A2,MFGE8,COL4A1,COX7C,KRT7,ARL4D
GPI,JPT1,PRRC2C,MCRIP2,GAPDH,SRP54
POLR2L,RPL5,LAMC1,UQCC2,RPL18,PRPF8
PFN1,CALD1,LMAN1,THSD7A,DNAJA1,USP14
IFITM2,JAK1,ATP1A1,NDUFC1,PPIA,TARBP1
PARK7,RPS23,PLOD2,ID2,AKR1B1,MRPL40
GCLC,ANTXR1,THSD7A,RAN,BASP1,RPL35
CYSTM1,RPL13A,LUC7L3,TLE5,RPS15,MID1
TRMT112,RPL9,PRKCA,SERF2,CALM1,TMEM106C
DNAJC12,RPS15A,VCAN,IRS2,UBA52,SYPL1
ANXA4,RPL3,PRKCSH,TSPAN4,PDCD5,RPL39L
COX7A2,RPL6,KANSL1,NPM1,AKR1B10,CLUAP1
RPS15A,RPL19,POR,MALL,YBX1,KRT19
ARL2,YWHAQ,CCNL1,EIF2S2,PSMA7,EBNA1BP2
NDUFS6,RPL18A,ADGRG6,LGALS1,TKT,PPA2
CALM2,ARPC5,IQGAP1,ATP5MPL,RPS7,ATG101
PSMB6,RABAC1,TFRC,NAXE,CCT3,HSPA4
CHMP2B,RPS12,NRCAM,PTS,S100A6,ANXA2
RPS8,RPL37,NUP210,S100A6,AKR1C2,TFCP2
CAST,RPS24,FBN2,JTB,DYNLL1,CAVIN3
PKM,RPL36A,SPG7,TOMM6,RPL35,SRP9
TCEA1,LBH,CCDC144A,S100P,PSMC4,RNF13
CENPX,RPL4,PLXNB2,DDIT4,NPM1,VRK2
FBL,RPS16,ITGA2,UQCR10,AC099509.1,PPP1R15A
RPL7,CDH2,CTSD,COX20,ARPC3,PARVA
BOLA3,CAMTA1,CALR,VGF,EIF3K,SLC35A2
ANP32B,RPS9,ATP6AP2,CARHSP1,RPLP2,HNRNPH3
SLC25A5,OST4,TMEM132A,UCHL1,SOS1-IT1,GAMT
SLIRP,RPS8,MEG3,MRPL40,CD63,SMIM19
RPL29,RPL34,MARCH6,INSL4,SERPINA1,IRS1
COX7B,RPS17,VPS13C,H1FX,UQCRB,ADPGK
COA3,RPL32,AHNAK,IL18,HLX-AS1,TAF9B
NACA,YBX1,SMCR5,ASPH,ANXA2,TMEM41B
MIF,RPL23A,CENPF,NDUFA7,PSMB6,ENTR1
RPS5,EEF1B2,SLC12A2,SRGN,DBI,NINL
ATP5PD,NPTX1,LINC00342,CHCHD2,BBS9,PXN
H2AFZ,MARCKSL1,HSPG2,POLR2E,AC099314.1,UBE2G1
TOMM5,DCBLD1,SREBF1,FAU,DHX33-DT,NFKBIA
HSBP1,NRP2,PILRB,PFDN2,CSNK1A1L,AC005562.1
NDUFC1,HPGD,COL7A1,TSC22D1,AL592424.1,SLC25A3
GTF2A2,RPL27A,CALU,RAB5IF,LINC02763,TAB2
RAN,PPP1R14B,ADAM10,SRM,OLAH,IVNS1ABP
COA4,GLS,MIR34AHG,PDHB,INTS6L,MIER1
CHMP2A,CAP1,AC092868.2,FIS1,DNM3,RPL36AL
CISD3,TUBA4A,CACNG8,EEF1D,AC087588.2,EIF2B5
PRDX3,TP53I3,AC092338.3,NQO2,CCDC183-AS1,SRP68
RPS17,RPL35,SLC2A3,BTF3,HAPLN4,NACA
PCNA,EEF1A1,CCN2,ATRAID,PDE2A,C2orf68
MMD,PCED1B,COL4A5,C12orf57,CLDN10,CDC5L
PSME2,RPS13,GPR135,MRPS16,HEY2,MRRF
ATP5MD,ACTN4,SLC25A37,SLC25A5,GAS5-AS1,CPNE1
PPIA,RAB34,AC004951.1,SEC11C,TMEM40,ZFHX3
RANBP1,HMGB1,LINC02615,KRT8,PLEKHS1,POLR1D
RPS29,FABP5,NKTR,RPL30,NAP1L3,GNG5
RAC1,VCL,SEL1L,NDUFV2,AC004865.2,PRKAB2
CCND3,CADM1,LTBP3,GCHFR,C19orf18,IGF2BP3
PEBP1,RPS11,AP003900.1,POLR2C,CHRFAM7A,MAD2L2
JTB,MSN,GRN,ARL6IP4,LINC02280,R3HCC1
ATP5F1E,RPLP2,CLSTN1,CCDC85B,AL022341.2,SNRNP200
ECH1,COMMD6,KLF6,FAM107B,CDC42-AS1,DUXAP8
SUMO2,PHPT1,LRP6,FTL,AC245014.1,CTTN
ELOC,RPL27,RTN4,STOML2,PHF21B,ACAT1
PGK1,S100A13,FAM227A,POMP,AC017071.1,EHBP1
MRPS34,RPL10A,CFH,SFXN1,P2RX6,SINHCAF
SEM1,SELENOH,MTRNR2L10,COA4,AC093157.2,KPNA3
CKS2,FLNA,MIR3936HG,UQCR11,LCMT1-AS1,S100A10
CYB5A,EEF1G,CASC19,TOMM5,AL390957.1,SNRPN
EIF4A1,HSPA2,AC016831.5,TMEM106B,AC021086.1,BCL10
COX14,PKM,MTRNR2L1,METTL5,AC005899.7,RDH14
RPS14,SMS,ITGB5,UQCRQ,MSMP,RAB14
MIEN1,CCNI,AC006141.1,RPS20,CCDC69,PSMB10
SERPINB1,BEX3,ARID1B,METTL26,C11orf98,P4HB
SSBP1,RPL22L1,AC127164.1,AURKAIP1,SNRPD2,H2AFY2
RPL17,BTF3,AC005838.2,NDUFS6,AC092115.2,ARF3
PSMD8,RPL17,LTB4R,SNHG5,ZNF223,ZNF614
BANF1,RPL8,ITGA11,NDUFS5,GJB2,THOP1
MRPL27,LARP6,TMEM9B-AS1,UQCRB,LIFR-AS1,MARCH9
SET,EFEMP1,ADAMTS6,NDUFA1,AL132639.3,SH3BGRL3
LSM5,PPIA,ANKRD11,RPS15,AL139384.1,DNAJC21
HMOX1,G3BP1,ASPM,ATP5PO,GJC3,BOD1
PSMC4,BTG1,LRP1,MYDGF,AC005476.2,ATE1
MGST1,PTMA,MRC2,RPL10,LINC00242,PROC
ERH,EID1,LAMB3,CD320,ASCL5,NDUFA4
PRR13,COTL1,AHNAK2,PCNA,AC051619.5,RPS5
PHPT1,GALNT1,AC092828.1,PSAT1,AL023806.1,AFMID
COX8A,EMP3,TRIM73,ATP5MD,CNTD1,AKAP13
HPGD,LYPD1,BDNF-AS,SLC25A11,ITM2A,ATP6V1D
MRPL18,RTL8A,FAM71F2,UBA52,ZMYND12,RFX1
POLR2K,PACS1,AL731577.1,SLC25A6,AC091180.3,MICOS13
AP2S1,HTRA1,IGF2R,RNASEH2C,AL589935.1,TCF25
NDUFA8,PABPC1,DAPK1-IT1,HAX1,AP000569.1,SMOX
CYB5B,RPS28,RSKR,NDUFB1,AC012360.2,PDPR
APRT,RPL38,GALNT10,MICOS13,PMEL,TMEM208
ATP5MPL,FKBP1A,AC022144.1,NR2F2,EMILIN1,RUFY1
NDUFB1,FZD2,PRH1,ATP5F1E,PDF,DDX21
CKS1B,ARPC2,DANT2,MFSD3,NSG1,RND3
POMP,BASP1,AC005726.5,EVA1C,SLC5A10,PRR13
H3F3A,C12orf75,LAMB2,RPS6,KDM4D,KRTCAP2
SNRPE,RPL7,ZBTB20-AS2,UQCRH,AC006059.1,NPM1
ITGAE,GOPC,LINC00513,EEF1A1,PRR15,APAF1
MRPL52,EPHB2,AL157392.3,PCBP1,LYG2,WDR60
C19orf53,ERGIC1,ANGPT2,RPL14,GSTA1,PSMB2
ATP5PF,EIF3F,AL391840.3,CHP1,KLHL3,DGCR6L
SEC61B,PFDN5,AL078587.2,TUBA1B,PDE1A,CWC25
MYL12B,PDXK,SEC62,UBE2T,AL355102.4,UTP18
SSNA1,RPL37A,AP000525.1,CCT8,EPB41L4A-DT,UXT
NUDT1,CDK4,LDLR,RPS27A,AC005670.1,EIF1AX
PSMA3,RSPO3,AP002495.1,TXNL4A,SOX9-AS1,UBB
SRP14,FXYD5,AC104695.4,SMIM26,ARRDC3-AS1,ZFAS1
RPS23,MRPL33,CELSR1,TMA7,IL18R1,TOR1AIP1
UQCRQ,IL32,Z82217.1,ATP5PF,AK8,FAR1
SNRPD1,SUMO2,NR2E3,TIMM13,FAM110C,IWS1
EIF1AX,RPL30,ST3GAL6,NDUFB8,AC017083.2,CHD8
RPL36AL,UBA52,RNF213-AS1,NME4,AL592148.3,PPP4R3B
TUBB,RPL21,AC025259.3,SDF2L1,LINC00539,LEPROTL1
MRPL50,YWHAB,SHANK2-AS1,ARF1,SERF2,DNTTIP2
PTMA,SNRPD2,TMEM67,LAMTOR4,ZBED8,HIST1H2BD
CISD1,GABARAP,Z82215.1,TBCA,KIAA1211,ZFAND6
NDUFB4,SELENOW,PCDHA12,MDH2,LINC02175,AFF4
EDF1,RSU1,AGAP9,FAM174C,SNTB1,CGRRF1
ATP5MC2,SNHG5,SEC31B,COPS6,HOXC-AS3,UBXN1
POLR2J,CAPZB,AL022323.4,CMC1,SNX22,NSMCE1
RPL8,UBB,MIR29B2CHG,PTP4A2,ZSCAN30,MRTO4
SNRPC,RACK1,HEXD-IT1,ATP5F1D,LINC01268,NSA2
HSPA1A,PLOD2,AL365436.2,CLTB,AL590652.1,COCH
TMA7,RPL41,BX842570.1,RPS25,TIRAP,ANXA5
RAB5C,EIF4G2,AL354836.1,FABP5,AC087501.4,SFT2D1
ELOB,MOB3B,SLFNL1-AS1,RPL27A,LINC02447,SLC25A5
NTHL1,NDUFS5,CU638689.4,PLPP2,C5orf56,TRIB3
TIMM8B,PRSS23,ANKRD36B,ATP5F1C,AL357079.1,RERE
PSMA4,LAGE3,SMG1,ATP5ME,SSTR2,MIA3
MRPS15,CMIP,LILRB3,CCT5,AHCYL2,SYNM
TIMM10,NDUFS8,C5,SDSL,LINC01119,CSNK1G1
PERP,ARL4C,AC005070.3,EIF4EBP1,EYA2,RBBP4
NR2F6,RPS29,AP000897.1,CDKN3,AC116667.1,RRP8
SAP18,CAV2,KHDC4,SERINC2,RGCC,AC092279.1
MRPL58,RPL31,STARD4-AS1,GNG11,ZNF548,URI1
RPS11,RPL36,AC027796.1,RHOF,ZNF443,PSMA4
RPL18A,JUNB,MRTFA-AS1,RPS18,CD83,ATRX
EEF1A1,RRAS,AC022087.1,SUCLG1,PIP5KL1,RNF185
RPL12,SRI,AC109322.2,H2AFJ,AL358472.4,NRP2
RPL4,C4orf48,AC090559.2,HIF1A,PIH1D2,SF3B6
TMOD3,PLS3,MPRIP-AS1,BNIP3,DKKL1,TRIM28
MRPS7,LOXL2,MUC20,SAP18,LINC01285,YIPF1
TBCB,CPNE1,GAB2,HGD,GDA,PUSL1
VPS29,FSCN1,AC005632.3,PMVK,AC012073.1,RPL13A
UQCR10,BZW1,PDE4D,YIF1A,GPR162,BMPR2
PSMC5,CNN2,CTSL,PTTG1,RIMS3,COQ5
TPT1,RPL14,GPR82,BLOC1S1,LINC01315,HPGD
CYCS,UQCRB,LINC01355,CBX3,AC012467.2,C16orf58
EIF5A,PSMA4,CYP3A5,AQP3,AC068228.3,SPAG9
CRIP1,AP2S1,FAM133B,MDP1,ZNF738,IFT57
GTF3C6,TPM4,C1RL-AS1,PIR,AC120053.1,TMEM33
RPS9,AC006262.2,AC027020.2,MMP24OS,ALDH3A1,NSUN5
CCDC34,CDC42EP3,AL121933.2,MYL12B,PAQR8,MECP2
ARPC3,HNRNPA1,AL354733.3,ANP32E,MAP1LC3B2,LSM14A
BTF3,TCEAL4,SPTAN1,ALDH1A1,MEIS1,CTNNA1
CD99,DCTN3,SLC39A10,PSMA3,SLC25A21,PPP6R3
MRPS23,ZNF428,FAM71A,SNU13,SHF,PPP1R16A
AGPAT2,GABRA5,ZBTB20,PGAM1,FAM221A,NSFL1C
PDLIM1,YWHAE,PCDHGA8,CHMP2A,AGTR1,NDUFC1
COX7C,RPS25,AL138828.1,LGR4,ELMO3,GNAI3
LAMTOR4,PDZD11,NPIPB4,LITAF,S100A4,FMC1
RBIS,NACA,AC022613.3,POLR2H,TMSB15A,NABP2
MRPL17,CAPN2,AC097654.1,RPL41,ITGB2-AS1,EEF1G
LSM4,MCRIP1,LINC00893,MRPL51,THBS3,ASH1L
PPDPF,ACTR3,FRAS1,DYNLL1,PDE6G,FAM215B
FGG,TES,HIF1A-AS3,EIF5A,C10orf90,DYNC1H1
ATP5MG,P4HA3,AP002490.1,NUSAP1,VLDLR-AS1,CASP8
MRPL36,TMEM256,SLC7A11-AS1,PPIA,KIAA0040,USB1
PCLAF,IGFL2-AS1,AC007938.3,STUB1,AC021092.1,ZRANB1
DCTPP1,KHDRBS1,TNFSF14,RPS8,MAGEE1,CHERP
PSMA2,TANC2,AL049840.4,TMEM208,CTHRC1,ZFYVE21
CMC1,SUB1,ITGB4,GADD45GIP1,CASZ1,IFT22
TOMM6,TGFBR1,AC058791.1,RPS23,PARD6G-AS1,COX5A
TST,FOSL2,AC009060.1,PPP1R14B,HIST1H2AI,CAV1
TRNP1,CDK2AP2,AL731566.2,F12,MEGF6,SRA1
ATP6V1G1,NME4,LRRC4,DMAC1,SAP30L-AS1,PHLDB2
PSMB7,NDUFB2,AP000662.1,HSP90B1,BTBD9,AC022613.1
BUD31,RTL8C,CD44,ARPC1A,CTRL,GOLPH3
BLOC1S1,FHL2,HACD3,PSMB5,C5orf66,MARCH8
LY6E,APEX1,ZNF708,UBE2D2,CRYAB,C20orf96
LAMTOR2,LDHA,CKAP4,GHITM,COX4I1,HCFC1
UQCRH,FAM89B,ZFHX2-AS1,PSMB10,ZNF846,ZNF487
GPX4,MYH9,AC093690.1,SERPINB1,PDGFB,COQ4
ZCRB1,BANF1,MIRLET7BHG,PHGDH,AC103740.2,S100A16
DHFR,C17orf49,AC137932.3,EMG1,TIGD7,PNPT1
TMEM205,GNG11,AC009090.6,ATP5MG,ANXA10,TSEN15
FAU,RALA,AL031846.2,NDUFB5,AL355916.1,DPM1
NDUFB2,CDA,AC007566.1,HMGN2,ZSCAN12,WDR1
PFN2,JOSD2,AC007114.2,BSG,ZBED9,TMEM134
C19orf33,RPL22,AL356124.1,TIMM17B,ATP5MGL,NFYC
PDCD6,TAX1BP3,HYMAI,SPTSSA,ITGBL1,RRAS2
CCT6A,PLIN3,AC008735.2,MAGEA6,AC099791.2,SSRP1
JPT1,RPS7,AL157838.1,SMOX,ACTL8,CUL2
GSTO1,SET,AC079921.1,PDZD8,BDKRB1,RPS17
RPLP2,SNRPN,CACNB4,LDHA,LPXN,MRPS11
SIVA1,CLTA,PCDHB2,PSMA1,APBB1IP,ATP5ME
HMGN3,PLAU,STT3B,RPA3,BTBD16,HNRNPF
HILPDA,BRK1,N4BP2L2-IT2,MGAT4B,RPS21,ANXA1
ALYREF,ATP6V1G1,PAPPA-AS1,COQ9,PRODH2,PSMD14
KRT8,JUN,BLID,PSMG3,AP000866.2,STK32B
VDAC3,NUTF2,NOMO2,ENSA,AC027097.2,CGGBP1
KRT18,IFT57,AC092683.1,NDUFB3,ZNF155,LYPLA1
MRPL41,PCBP2,ATP8B4,SNRPE,AC090409.1,SKP1
NDUFA12,ZNHIT1,ZMAT1,RASSF9,C10orf143,RBM7
RPS28,MYL9,TPM1-AS,MRPL23,AC016727.1,ZNHIT1
TMEM141,RPS20,AC009996.1,CTSZ,BCL2A1,ENOPH1
SRP9,POLE4,ADCY9,PFDN4,ACY3,KIF3B
FAM107B,STK17A,TNFRSF25,FAM177A1,MYLPF,TBK1
ID1,GUK1,AC011379.2,VEGFB,GPNMB,PDHA1
RPS25,RHOA,AL583810.1,SEC13,LINC01106,PRPF31
MALL,PPDPF,NSMCE1-DT,ITGB1BP1,ZDHHC23,GFER
TK1,RAB13,NBPF15,RPS19BP1,SLC6A15,SNF8
COX6C,SCAND1,DNASE1,SPP1,LPP-AS2,STX6
YWHAE,SEMA3C,AC073957.3,DBI,GDPD5,PCBP1
WDR34,ACTN1,ABCC1,TIMM8B,AL513218.1,POLR1E
CKB,CAMLG,Z93943.1,PPP1CA,AC103871.1,STARD3
MRPS35,ILK,SAP30L-AS1,PRR7,AC012414.5,ARFGEF2
RPL23,MZT2A,KCNB1,ATP5PB,SH2D7,TXLNA
POLR3K,NOP10,CACNA1A,MRPL11,ALKAL2,RHOC
SNRNP25,CBX1,AC011379.1,NAA10,AC006213.7,HSPBP1
TBCA,CDC42,SORL1,MRPL21,AC087286.2,FAM169A
TMEM106C,LMO4,AP000866.6,RPL26L1,AC009434.1,POP5
UBL5,CETN2,AC003681.1,GARS,LINC00929,TMEM50A
TIMM13,PAWR,AC073529.1,TMSB10,LINC02765,COTL1
MRPL14,RAB11A,AL031595.3,NABP2,AC008738.2,COMMD3
INSL4,PPP1CA,AC013564.1,NDUFA4,GOLGA8G,NCOA4
UBE2M,PLEK2,SLC1A5,BRI3,PSG6,SAMD11
CIB1,NEDD8,PCDHA9,SIGMAR1,GOLGA8M,GTF3C3
ZDHHC12,DCTN2,AC107072.2,SUB1,OR2M4,ARPC3
ENO1,CRIP1,NOTCH2NLA,UBE2I,LINC01480,RUFY2
RPL11,DRAP1,FCN1,POLD4,AC123768.5,MLH1
SUPT4H1,SRP14,AC005253.1,BSCL2,SLC28A1,MPV17
GABARAPL2,STMP1,TANC2,CLPP,AC090877.2,PPP3CA
TXNL4A,COPS9,AC009120.2,RPLP0,AL670729.3,NCBP1
PFDN5,PSME1,LINC-PINT,TXN2,AC019118.2,TRMT112
YBX1,COL5A2,NPR2,PHB2,LINC01586,RPL36
DSTN,MEG3,AC073592.1,TNFRSF1A,AC005757.1,MDH1
IQGAP2,FGF2,FLG2,RPL37A,CSPG4,EHD1
MRPL21,EIF3E,IGSF9B,HSPA9,AC007193.3,ITGB1-DT
DEK,CD24,AL109955.1,SSR4,EFCAB14-AS1,ZNF544
RPS3,RAB5C,AC127496.1,EIF2S1,SYNE3,BIRC5
GTF3A,TBX3,AC108673.3,HSD17B10,AC104035.1,RRP15
MRPL38,RHOD,AL355336.1,KYNU,AC021422.1,AK2
TRIM16,COA3,AATK,TRIB3,AC008738.4,TYSND1
RPL37A,AC093673.1,AP000654.1,NSA2,AC082651.3,UBE2D1
CSTB,NNMT,AL133367.1,NDUFB6,LINC02809,SAT2
MRPL13,ANXA3,IGSF10,UBE2A,ROR1-AS1,MDM2
METTL26,EEF1D,LRRC37A,POLR3K,AL049833.1,RNF139
RPL39,VAT1,ASMTL-AS1,PPA1,CBLC,ATP5PB
C9orf16,DNAJC8,AL356599.1,NDUFS3,AGBL4,UBA52
TMEM230,MYL6B,PLEKHH2,CENPN,BEND5,PMEPA1
ANXA11,PHLDA3,AL139330.1,NACA,LINC01247,RPS11
RPL22,HMGN2,AC037198.1,CENPX,APOC4,RNF40
TUBB4B,RND3,GSDMB,SERBP1,AL132712.1,ANKS1A
NGRN,ARPC3,AP002762.3,HMGA1,TTC39A-AS1,WBP4
HNRNPC,NPM1,ZNF790-AS1,PSMD7,AC013391.3,PARL
ATP5MC3,LSM7,MTRNR2L3,ADGRG1,AL583810.2,HTT
RPS20,SH3BGRL,SH3D21,UXT,AC013565.1,YME1L1
CEBPD,TADA3,AL035681.1,DPY30,AL355483.1,ATP2B1
ZNF706,RPS15,AC104695.3,CKS1B,AL591848.3,LRPPRC
RPLP0,FAM200B,CD37,WWTR1,AC022558.2,ZNF330
PPA1,FAU,LHFPL4,RAD23A,AC037198.2,MRNIP
RPL39L,RNASEK,SNHG26,MCTS1,CPLX3,CTSL
MGLL,ZNF580,AC010168.2,EPHX1,MAPK6-DT,CCDC174
RPL15,LACTB,AC007014.1,LSM3,ITPKB-AS1,NDUFA8
AOPEP,SPECC1,AC067930.8,SNHG8,AC023906.2,TRAPPC3
UXT,MZT2B,MEGF8,C19orf53,AC025917.1,MRPS21
RAD51C,RPL26L1,AL645940.1,S100A16,AC018926.1,SF3A3
XBP1,UBE2V1,AP001442.1,CRNDE,AC084782.2,LRRC8D
COPRS,BDNF,DQX1,SELENOH,AC090518.1,SPTY2D1
SRM,COMMD3,FAXDC2,RPL15,FFAR3,ECHS1
TMEM256,PSMB3,AC037459.2,SPCS1,WDR87,MIEN1
EIF4A3,ISOC2,NFKBIZ,DYNLT1,ZNF781,FXR1
ANP32A,RGS2,AC022973.3,GUK1,AC090607.5,CCDC43
ETFA,FERMT2,PCDHAC1,PSMD8,AC010632.1,COPS2
